cluster_id,system,concept_precision,concept_recall,concept_f1,concept_jaccard,entity_precision,entity_recall,entity_f1,entity_jaccard,relation_precision,relation_recall,relation_f1,relation_jaccard,exact_triple_precision,exact_triple_recall,exact_triple_f1,exact_triple_jaccard,soft_triple_precision,soft_triple_recall,soft_triple_f1,domain_accuracy,range_accuracy,domain_range_pair_accuracy,schema_violation_rate,node_retention,edge_retention,edge_jaccard,relation_type_retention,lcc_ratio,central_node_preservation_at10,candidate_concepts,candidate_entities,candidate_triples,candidate_nodes,candidate_edges
test_02768,primera_sentence,0.627906976744186,0.36486486486486486,0.4615384615384615,0.3,0.875,0.1891891891891892,0.3111111111111111,0.18421052631578946,1.0,0.15384615384615385,0.2666666666666667,0.15384615384615385,0.5,0.058823529411764705,0.10526315789473684,0.05555555555555555,0.5,0.058823529411764705,0.10526315789473684,0.5,1.0,0.5,0.5,0.13043478260869565,0.058823529411764705,0.05555555555555555,0.15384615384615385,0.4,0.1,43,8,2,4,2
test_02770,primera_exact,0.625,0.15,0.24193548387096772,0.13761467889908258,0.7647058823529411,0.21311475409836064,0.3333333333333333,0.2,0.5,0.10714285714285714,0.17647058823529413,0.0967741935483871,0.3333333333333333,0.06451612903225806,0.1081081081081081,0.05714285714285714,0.3333333333333333,0.06451612903225806,0.1081081081081081,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666667,0.175,0.06451612903225806,0.05714285714285714,0.10714285714285714,0.25,0.2,24,17,6,12,6
test_02770,primera_sentence,0.625,0.15,0.24193548387096772,0.13761467889908258,0.7647058823529411,0.21311475409836064,0.3333333333333333,0.2,0.5,0.10714285714285714,0.17647058823529413,0.0967741935483871,0.3333333333333333,0.06451612903225806,0.1081081081081081,0.05714285714285714,0.3333333333333333,0.06451612903225806,0.1081081081081081,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666667,0.175,0.06451612903225806,0.05714285714285714,0.10714285714285714,0.25,0.2,24,17,6,12,6
test_02771,primera_exact,0.6744186046511628,0.47540983606557374,0.5576923076923077,0.38666666666666666,0.8181818181818182,0.6428571428571429,0.7200000000000001,0.5625,0.5454545454545454,0.375,0.4444444444444444,0.2857142857142857,0.23076923076923078,0.17647058823529413,0.20000000000000004,0.1111111111111111,0.23076923076923078,0.17647058823529413,0.20000000000000004,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.6923076923076923,0.3684210526315789,0.17647058823529413,0.1111111111111111,0.375,0.45454545454545453,0.2,43,22,13,19,13
test_02771,primera_sentence,0.6744186046511628,0.47540983606557374,0.5576923076923077,0.38666666666666666,0.8181818181818182,0.6428571428571429,0.7200000000000001,0.5625,0.5454545454545454,0.375,0.4444444444444444,0.2857142857142857,0.23076923076923078,0.17647058823529413,0.20000000000000004,0.1111111111111111,0.23076923076923078,0.17647058823529413,0.20000000000000004,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.6923076923076923,0.3684210526315789,0.17647058823529413,0.1111111111111111,0.375,0.45454545454545453,0.2,43,22,13,19,13
test_02784,primera_exact,0.8076923076923077,0.07473309608540925,0.13680781758957652,0.07342657342657342,0.7916666666666666,0.1310344827586207,0.22485207100591717,0.12666666666666668,1.0,0.06349206349206349,0.11940298507462686,0.06349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.02459016393442623,0.0,0.0,0.06349206349206349,0.2631578947368421,0.2,26,24,7,10,7
test_02784,primera_sentence,0.8076923076923077,0.07473309608540925,0.13680781758957652,0.07342657342657342,0.7916666666666666,0.1310344827586207,0.22485207100591717,0.12666666666666668,1.0,0.06349206349206349,0.11940298507462686,0.06349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.02459016393442623,0.0,0.0,0.06349206349206349,0.2631578947368421,0.2,26,24,7,10,7
test_02785,primera_exact,0.8,0.22018348623853212,0.34532374100719426,0.20869565217391303,0.5,0.09615384615384616,0.16129032258064518,0.08771929824561403,0.25,0.02564102564102564,0.04651162790697674,0.023809523809523808,0.25,0.02564102564102564,0.04651162790697674,0.023809523809523808,0.25,0.02564102564102564,0.04651162790697674,0.25,0.25,0.25,0.75,0.05263157894736842,0.02564102564102564,0.023809523809523808,0.02564102564102564,0.42857142857142855,0.2,60,10,4,7,4
test_02785,primera_sentence,0.8,0.22018348623853212,0.34532374100719426,0.20869565217391303,0.5,0.09615384615384616,0.16129032258064518,0.08771929824561403,0.25,0.02564102564102564,0.04651162790697674,0.023809523809523808,0.25,0.02564102564102564,0.04651162790697674,0.023809523809523808,0.25,0.02564102564102564,0.04651162790697674,0.25,0.25,0.25,0.75,0.05263157894736842,0.02564102564102564,0.023809523809523808,0.02564102564102564,0.42857142857142855,0.2,60,10,4,7,4
test_02787,primera_exact,0.6296296296296297,0.22077922077922077,0.3269230769230769,0.19540229885057472,0.9230769230769231,0.18181818181818182,0.3037974683544304,0.1791044776119403,1.0,0.1724137931034483,0.29411764705882354,0.1724137931034483,1.0,0.14285714285714285,0.25,0.14285714285714285,1.0,0.14285714285714285,0.25,1.0,1.0,1.0,0.0,0.15789473684210525,0.14285714285714285,0.14285714285714285,0.1724137931034483,0.75,0.1,54,13,5,9,5
test_02787,primera_sentence,0.6296296296296297,0.22077922077922077,0.3269230769230769,0.19540229885057472,0.9230769230769231,0.18181818181818182,0.3037974683544304,0.1791044776119403,1.0,0.1724137931034483,0.29411764705882354,0.1724137931034483,1.0,0.14285714285714285,0.25,0.14285714285714285,1.0,0.14285714285714285,0.25,1.0,1.0,1.0,0.0,0.15789473684210525,0.14285714285714285,0.14285714285714285,0.1724137931034483,0.75,0.1,54,13,5,9,5
test_02796,primera_exact,0.5454545454545454,0.1276595744680851,0.2068965517241379,0.11538461538461539,0.7083333333333334,0.26153846153846155,0.38202247191011235,0.2361111111111111,0.8,0.1,0.1777777777777778,0.0975609756097561,0.4,0.04081632653061224,0.07407407407407406,0.038461538461538464,0.6,0.061224489795918366,0.1111111111111111,0.6,0.8,0.6,0.4,0.056338028169014086,0.04081632653061224,0.038461538461538464,0.1,0.375,0.0,44,24,5,8,5
test_02796,primera_sentence,0.5454545454545454,0.1276595744680851,0.2068965517241379,0.11538461538461539,0.7083333333333334,0.26153846153846155,0.38202247191011235,0.2361111111111111,0.8,0.1,0.1777777777777778,0.0975609756097561,0.4,0.04081632653061224,0.07407407407407406,0.038461538461538464,0.6,0.061224489795918366,0.1111111111111111,0.6,0.8,0.6,0.4,0.056338028169014086,0.04081632653061224,0.038461538461538464,0.1,0.375,0.0,44,24,5,8,5
test_02820,primera_exact,0.5581395348837209,0.3037974683544304,0.39344262295081966,0.24489795918367346,0.7333333333333333,0.2037037037037037,0.3188405797101449,0.1896551724137931,0.5,0.15,0.23076923076923075,0.13043478260869565,0.16666666666666666,0.043478260869565216,0.06896551724137931,0.03571428571428571,0.3333333333333333,0.08695652173913043,0.13793103448275862,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666667,0.1111111111111111,0.043478260869565216,0.03571428571428571,0.15,0.75,0.1,43,15,6,8,6
