cluster_id,variant,alpha_topic,beta_pattern,delta_redundancy,summary_words,run82_target_words,absolute_budget_mismatch_pct,concept_precision,concept_recall,concept_f1,concept_jaccard,entity_precision,entity_recall,entity_f1,entity_jaccard,relation_precision,relation_recall,relation_f1,relation_jaccard,exact_triple_precision,exact_triple_recall,exact_triple_f1,exact_triple_jaccard,soft_triple_precision,soft_triple_recall,soft_triple_f1,domain_accuracy,range_accuracy,domain_range_pair_accuracy,schema_violation_rate,node_retention,edge_retention,edge_jaccard,relation_type_retention,lcc_ratio,central_node_preservation_at10,candidate_concepts,candidate_entities,candidate_triples,candidate_nodes,candidate_edges
test_01795,full_run82,0.3,0.7,1.0,290,290,0.0,1.0,0.1492063492063492,0.2596685082872928,0.1492063492063492,0.9523809523809523,0.20833333333333334,0.3418803418803419,0.20618556701030927,1.0,0.14814814814814814,0.25806451612903225,0.14814814814814814,1.0,0.13414634146341464,0.23655913978494622,0.13414634146341464,1.0,0.13414634146341464,0.23655913978494622,1.0,1.0,1.0,0.0,0.1452991452991453,0.13414634146341464,0.13414634146341464,0.14814814814814814,0.2222222222222222,0.2,47,21,11,17,11
test_01795,no_topic,0.0,1.0,1.0,382,290,31.724137931034484,1.0,0.2,0.33333333333333337,0.2,0.9565217391304348,0.22916666666666666,0.36974789915966383,0.2268041237113402,1.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,1.0,0.14634146341463414,0.2553191489361702,0.14634146341463414,1.0,0.14634146341463414,0.2553191489361702,1.0,1.0,1.0,0.0,0.1623931623931624,0.14634146341463414,0.14634146341463414,0.16666666666666666,0.2222222222222222,0.2,63,23,12,19,12
test_01795,no_pattern,1.0,0.0,1.0,132,290,54.48275862068965,0.9375,0.047619047619047616,0.09063444108761327,0.04746835443037975,0.9230769230769231,0.125,0.22018348623853212,0.12371134020618557,1.0,0.09259259259259259,0.1694915254237288,0.09259259259259259,0.6666666666666666,0.04878048780487805,0.0909090909090909,0.047619047619047616,0.6666666666666666,0.04878048780487805,0.0909090909090909,0.8333333333333334,1.0,0.8333333333333334,0.16666666666666663,0.08547008547008547,0.04878048780487805,0.047619047619047616,0.09259259259259259,0.1111111111111111,0.0,16,13,6,12,6
test_01795,no_redundancy,0.3,0.7,0.0,477,290,64.48275862068965,1.0,0.21587301587301588,0.35509138381201044,0.21587301587301588,1.0,0.3541666666666667,0.5230769230769231,0.3541666666666667,1.0,0.16666666666666666,0.2857142857142857,0.16666666666666666,1.0,0.18292682926829268,0.30927835051546393,0.18292682926829268,1.0,0.18292682926829268,0.30927835051546393,1.0,1.0,1.0,0.0,0.20512820512820512,0.18292682926829268,0.18292682926829268,0.16666666666666666,0.2222222222222222,0.4,68,34,15,24,15
test_01802,full_run82,0.3,0.7,1.0,334,334,0.0,1.0,0.4236111111111111,0.5951219512195122,0.4236111111111111,1.0,0.48148148148148145,0.65,0.48148148148148145,1.0,0.4166666666666667,0.5882352941176471,0.4166666666666667,1.0,0.35294117647058826,0.5217391304347826,0.35294117647058826,1.0,0.35294117647058826,0.5217391304347826,1.0,1.0,1.0,0.0,0.3673469387755102,0.35294117647058826,0.35294117647058826,0.4166666666666667,0.5,0.3,61,13,12,18,12
test_01802,no_topic,0.0,1.0,1.0,378,334,13.17365269461078,1.0,0.4722222222222222,0.6415094339622641,0.4722222222222222,1.0,0.5185185185185185,0.6829268292682926,0.5185185185185185,1.0,0.4583333333333333,0.6285714285714286,0.4583333333333333,1.0,0.38235294117647056,0.5531914893617021,0.38235294117647056,1.0,0.38235294117647056,0.5531914893617021,1.0,1.0,1.0,0.0,0.40816326530612246,0.38235294117647056,0.38235294117647056,0.4583333333333333,0.5,0.3,68,14,13,20,13
test_01802,no_pattern,1.0,0.0,1.0,223,334,33.23353293413174,1.0,0.3472222222222222,0.5154639175257731,0.3472222222222222,1.0,0.5555555555555556,0.7142857142857143,0.5555555555555556,1.0,0.5,0.6666666666666666,0.5,1.0,0.5588235294117647,0.7169811320754718,0.5588235294117647,1.0,0.5588235294117647,0.7169811320754718,1.0,1.0,1.0,0.0,0.5510204081632653,0.5588235294117647,0.5588235294117647,0.5,0.75,0.5,50,15,19,27,19
test_01802,no_redundancy,0.3,0.7,0.0,406,334,21.55688622754491,1.0,0.2916666666666667,0.45161290322580644,0.2916666666666667,1.0,0.2962962962962963,0.45714285714285713,0.2962962962962963,1.0,0.25,0.4,0.25,1.0,0.17647058823529413,0.3,0.17647058823529413,1.0,0.17647058823529413,0.3,1.0,1.0,1.0,0.0,0.20408163265306123,0.17647058823529413,0.17647058823529413,0.25,0.375,0.3,42,8,6,10,6
test_01803,full_run82,0.3,0.7,1.0,189,189,0.0,1.0,0.25,0.4,0.25,1.0,0.22058823529411764,0.36144578313253006,0.22058823529411764,1.0,0.2727272727272727,0.42857142857142855,0.2727272727272727,1.0,0.20454545454545456,0.339622641509434,0.20454545454545456,1.0,0.20454545454545456,0.339622641509434,1.0,1.0,1.0,0.0,0.27419354838709675,0.20454545454545456,0.20454545454545456,0.2727272727272727,0.1875,0.3,34,15,9,17,9
test_01803,no_topic,0.0,1.0,1.0,248,189,31.216931216931215,0.975609756097561,0.29411764705882354,0.45197740112994345,0.291970802919708,1.0,0.3088235294117647,0.4719101123595506,0.3088235294117647,1.0,0.30303030303030304,0.4651162790697675,0.30303030303030304,1.0,0.22727272727272727,0.37037037037037035,0.22727272727272727,1.0,0.22727272727272727,0.37037037037037035,1.0,1.0,1.0,0.0,0.3064516129032258,0.22727272727272727,0.22727272727272727,0.30303030303030304,0.1875,0.3,41,21,10,19,10
test_01803,no_pattern,1.0,0.0,1.0,158,189,16.402116402116402,1.0,0.19852941176470587,0.3312883435582822,0.19852941176470587,1.0,0.16176470588235295,0.27848101265822783,0.16176470588235295,1.0,0.2727272727272727,0.42857142857142855,0.2727272727272727,1.0,0.20454545454545456,0.339622641509434,0.20454545454545456,1.0,0.20454545454545456,0.339622641509434,1.0,1.0,1.0,0.0,0.27419354838709675,0.20454545454545456,0.20454545454545456,0.2727272727272727,0.1875,0.3,27,11,9,17,9
test_01803,no_redundancy,0.3,0.7,0.0,286,189,51.32275132275132,1.0,0.2867647058823529,0.44571428571428573,0.2867647058823529,1.0,0.3235294117647059,0.48888888888888893,0.3235294117647059,1.0,0.24242424242424243,0.3902439024390244,0.24242424242424243,1.0,0.20454545454545456,0.339622641509434,0.20454545454545456,1.0,0.20454545454545456,0.339622641509434,1.0,1.0,1.0,0.0,0.20967741935483872,0.20454545454545456,0.20454545454545456,0.24242424242424243,0.375,0.2,39,22,9,13,9
test_01822,full_run82,0.3,0.7,1.0,157,157,0.0,1.0,0.17557251908396945,0.2987012987012987,0.17557251908396945,1.0,0.2777777777777778,0.4347826086956522,0.2777777777777778,1.0,0.05405405405405406,0.10256410256410257,0.05405405405405406,1.0,0.14285714285714285,0.25,0.14285714285714285,1.0,0.14285714285714285,0.25,1.0,1.0,1.0,0.0,0.17647058823529413,0.14285714285714285,0.14285714285714285,0.05405405405405406,0.21428571428571427,0.3,23,25,7,12,7
